control_event_id,date,record_status,depot,product,stock_status,event_label,opening_stock_m3,customer_orders_m3,closing_stock_m3,days_of_cover,batch_triggered,batch_volume_m3,emergency_replenishment,autonomous_action
CP-0000894,2026-02-01,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7303.24,840.25,6462.98,7.69,1,7395.6,0,CREATE_PIPELINE_BATCH
CP-0000895,2026-02-10,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7067.28,914.89,6152.39,6.72,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000896,2026-02-14,SIMULATED_HISTORY,Eldoret,PMS,HEALTHY,LOADING_BAY_OUTAGE,10823.29,770.44,10052.86,13.05,0,0.0,0,NONE
CP-0000897,2026-02-15,SIMULATED_HISTORY,Eldoret,PMS,HEALTHY,LOADING_BAY_OUTAGE,10052.86,742.21,9310.65,12.54,0,0.0,0,NONE
CP-0000898,2026-02-19,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,6756.54,860.74,5895.8,6.85,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000899,2026-02-27,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7364.91,868.85,6496.06,7.48,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000900,2026-03-08,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,6717.78,750.43,5967.35,7.95,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000901,2026-03-16,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,6905.43,930.9,5974.53,6.42,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000902,2026-03-18,SIMULATED_HISTORY,Eldoret,PMS,CRITICAL,NORMAL,5111.33,969.72,4141.61,4.27,0,0.0,0,NONE
CP-0000903,2026-03-24,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,6977.08,998.04,5979.04,5.99,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000904,2026-03-27,SIMULATED_HISTORY,Eldoret,PMS,HEALTHY,UNPLANNED_PUMP_FAILURE,11539.89,884.39,10655.5,12.05,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000905,2026-04-01,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7158.32,916.71,6241.61,6.81,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000906,2026-04-09,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7090.02,1029.47,6060.56,5.89,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000907,2026-04-17,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7050.51,915.8,6134.71,6.7,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000908,2026-04-20,SIMULATED_HISTORY,Eldoret,PMS,HEALTHY,LOADING_BAY_OUTAGE,11916.56,943.55,10973.01,11.63,0,0.0,0,NONE
CP-0000909,2026-04-25,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7206.43,897.81,6308.62,7.03,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000910,2026-05-03,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7319.84,828.65,6491.19,7.83,1,7338.41,0,CREATE_PIPELINE_BATCH
CP-0000911,2026-05-11,SIMULATED_HISTORY,Eldoret,PMS,WATCH,UNPLANNED_PUMP_FAILURE,7238.15,905.29,6332.86,7.0,1,7426.08,0,CREATE_PIPELINE_BATCH+OUTAGE
CP-0000912,2026-05-19,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7235.67,840.96,6394.7,7.6,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000913,2026-05-26,SIMULATED_HISTORY,Eldoret,PMS,HEALTHY,PLANNED_PIPELINE_MAINTENANCE,8519.57,909.47,7610.1,8.37,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000914,2026-05-28,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,6681.63,996.16,5685.47,5.71,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000915,2026-05-31,SIMULATED_HISTORY,Eldoret,PMS,HEALTHY,DATA_LATENCY_INCIDENT,11293.81,753.37,10540.44,13.99,0,0.0,0,NONE
CP-0000916,2026-06-05,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,6910.91,1009.42,5901.49,5.85,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000917,2026-06-13,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7228.08,796.76,6431.32,8.07,1,7318.54,0,CREATE_PIPELINE_BATCH
CP-0000918,2026-06-22,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,6929.48,931.09,5998.39,6.44,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000919,2026-06-30,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7239.25,779.03,6460.22,8.29,1,7245.32,0,CREATE_PIPELINE_BATCH
CP-0000920,2026-07-08,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7507.45,870.37,6637.09,7.63,1,7296.79,0,CREATE_PIPELINE_BATCH
CP-0000921,2026-07-16,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7524.62,1002.16,6522.46,6.51,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000922,2026-07-25,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,6827.12,778.68,6048.45,7.77,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000923,2026-08-01,SIMULATED_HISTORY,Eldoret,PMS,HEALTHY,UNPLANNED_PUMP_FAILURE,7969.5,846.05,7123.45,8.42,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000924,2026-08-02,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7123.45,725.01,6398.44,8.83,1,7172.04,0,CREATE_PIPELINE_BATCH
CP-0000925,2026-08-08,SIMULATED_HISTORY,Eldoret,PMS,HEALTHY,DATA_LATENCY_INCIDENT;PLANNED_PIPELINE_MAINTENANCE,8888.9,885.98,8002.92,9.03,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000926,2026-08-09,SIMULATED_HISTORY,Eldoret,PMS,HEALTHY,PLANNED_PIPELINE_MAINTENANCE,8002.92,797.54,7205.38,9.03,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000927,2026-08-10,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7205.38,938.84,6266.54,6.67,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000928,2026-08-19,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,6724.61,905.97,5818.63,6.42,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000929,2026-08-27,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7205.05,885.59,6319.46,7.14,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000930,2026-09-04,SIMULATED_HISTORY,Eldoret,PMS,WATCH,NORMAL,7565.18,990.05,6575.13,6.64,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000931,2026-09-13,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,7166.57,699.84,6466.73,9.24,1,7040.83,0,CREATE_PIPELINE_BATCH
CP-0000932,2026-09-21,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,7428.01,780.88,6647.13,8.51,1,7063.03,0,CREATE_PIPELINE_BATCH
CP-0000933,2026-09-30,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,6767.2,879.46,5887.74,6.69,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000934,2026-10-08,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,7116.64,897.86,6218.78,6.93,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000935,2026-10-16,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,7427.06,901.76,6525.3,7.24,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000936,2026-10-23,SCENARIO_FUTURE,Eldoret,PMS,HEALTHY,LOADING_BAY_OUTAGE,8542.74,986.43,7556.31,7.66,0,0.0,0,NONE
CP-0000937,2026-10-24,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,7556.31,971.74,6584.57,6.78,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000938,2026-10-30,SCENARIO_FUTURE,Eldoret,PMS,HEALTHY,LOADING_BAY_OUTAGE,9472.26,988.5,8483.75,8.58,0,0.0,0,NONE
CP-0000939,2026-11-02,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,6913.9,810.29,6103.61,7.53,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000940,2026-11-11,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,6852.16,845.68,6006.48,7.1,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000941,2026-11-19,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,7437.07,867.1,6569.98,7.58,1,7355.72,0,CREATE_PIPELINE_BATCH
CP-0000942,2026-11-28,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,6948.65,750.14,6198.51,8.26,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000943,2026-12-06,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,6858.11,924.92,5933.19,6.41,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000944,2026-12-13,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,7070.39,916.52,6153.87,6.71,1,7426.08,0,CREATE_PIPELINE_BATCH
CP-0000945,2026-12-20,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,7496.31,864.87,6631.44,7.67,1,7288.69,0,CREATE_PIPELINE_BATCH
CP-0000946,2026-12-27,SCENARIO_FUTURE,Eldoret,PMS,WATCH,NORMAL,7453.77,861.53,6592.24,7.65,1,7319.54,0,CREATE_PIPELINE_BATCH
CP-0000947,2021-01-04,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13385.41,1153.89,12231.52,10.6,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000948,2021-01-08,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13384.68,1235.14,12149.54,9.84,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000949,2021-01-12,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13470.97,1253.56,12217.4,9.75,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000950,2021-01-16,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13409.85,1075.08,12334.78,11.47,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000951,2021-01-20,SIMULATED_HISTORY,Kisumu,AGO,HEALTHY,UNPLANNED_PUMP_FAILURE,13683.62,1032.88,12650.74,12.25,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000952,2021-01-21,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12650.74,1104.21,11546.54,10.46,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000953,2021-01-25,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12916.34,1186.01,11730.33,9.89,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000954,2021-01-29,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13047.5,1249.52,11797.98,9.44,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000955,2021-02-03,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12646.81,1019.31,11627.49,11.41,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000956,2021-02-07,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13005.61,907.22,12098.39,13.34,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000957,2021-02-11,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13597.83,1092.25,12505.58,11.45,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000958,2021-02-16,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13225.87,1064.63,12161.24,11.42,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000959,2021-02-20,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13663.62,1041.16,12622.46,12.12,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000960,2021-02-25,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13233.8,1125.24,12108.56,10.76,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000961,2021-03-02,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12719.05,1087.11,11631.94,10.7,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000962,2021-03-06,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12945.64,1051.41,11894.24,11.31,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000963,2021-03-08,SIMULATED_HISTORY,Kisumu,AGO,WATCH,LOADING_BAY_OUTAGE,10986.45,1078.59,9907.86,9.19,0,0.0,0,NONE
CP-0000964,2021-03-10,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13479.87,1132.13,12347.74,10.91,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000965,2021-03-15,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12856.63,1241.96,11614.67,9.35,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000966,2021-03-19,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12941.58,1152.44,11789.14,10.23,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000967,2021-03-23,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13275.24,1087.38,12187.86,11.21,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000968,2021-03-25,SIMULATED_HISTORY,Kisumu,AGO,HEALTHY,DATA_LATENCY_INCIDENT,11096.41,1088.65,14647.76,13.45,0,0.0,0,NONE
CP-0000969,2021-03-27,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13553.36,948.55,12604.81,13.29,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000970,2021-04-01,SIMULATED_HISTORY,Kisumu,AGO,WATCH,PLANNED_PIPELINE_MAINTENANCE,12802.53,1082.92,11719.62,10.82,1,4640.0,0,CREATE_PIPELINE_BATCH+OUTAGE
CP-0000971,2021-04-02,SIMULATED_HISTORY,Kisumu,AGO,WATCH,PLANNED_PIPELINE_MAINTENANCE,11719.62,1217.37,10502.24,8.63,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0000972,2021-04-04,SIMULATED_HISTORY,Kisumu,AGO,HEALTHY,DATA_LATENCY_INCIDENT,14203.44,882.11,13321.33,15.1,0,0.0,0,NONE
CP-0000973,2021-04-05,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13321.33,1064.41,12256.93,11.52,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000974,2021-04-09,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13508.03,1203.7,12304.33,10.22,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000975,2021-04-14,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12687.79,1237.53,11450.26,9.25,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000976,2021-04-17,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,9031.83,1089.84,12581.98,11.54,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000977,2021-04-22,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12932.1,1222.01,11710.09,9.58,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000978,2021-04-26,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,8516.4,1105.38,12051.02,10.9,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000979,2021-04-30,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13312.84,1204.43,12108.41,10.05,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000980,2021-05-04,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13501.82,1171.91,12329.91,10.52,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000981,2021-05-08,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13503.86,958.73,12545.13,13.09,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000982,2021-05-13,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12763.51,1090.01,11673.5,10.71,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000983,2021-05-17,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13144.69,1151.12,11993.57,10.42,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000984,2021-05-20,SIMULATED_HISTORY,Kisumu,AGO,HEALTHY,LOADING_BAY_OUTAGE,14391.32,1178.99,13212.32,11.21,0,0.0,0,NONE
CP-0000985,2021-05-21,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13212.32,1169.09,12043.23,10.3,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000986,2021-05-25,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13524.78,1025.71,12499.07,12.19,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000987,2021-05-30,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12758.03,1003.07,11754.96,11.72,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000988,2021-06-03,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13072.38,1106.2,11966.18,10.82,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000989,2021-06-07,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13583.82,1070.51,12513.3,11.69,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000990,2021-06-12,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12877.71,945.42,11932.29,12.62,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000991,2021-06-16,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13512.12,1107.26,12404.87,11.2,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000992,2021-06-21,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12995.32,1147.17,11848.16,10.33,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000993,2021-06-25,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13329.79,1034.78,12295.01,11.88,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000994,2021-06-30,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12808.7,1094.69,11714.01,10.7,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000995,2021-07-04,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13041.79,960.38,12081.41,12.58,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000996,2021-07-08,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13413.46,1119.4,12294.06,10.98,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000997,2021-07-13,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12802.06,1144.16,11657.9,10.19,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000998,2021-07-17,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12904.73,1096.23,11808.5,10.77,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0000999,2021-07-19,SIMULATED_HISTORY,Kisumu,AGO,WATCH,LOADING_BAY_OUTAGE,10913.04,1142.32,9770.72,8.55,0,0.0,0,NONE
CP-0001000,2021-07-21,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13389.07,1153.94,12235.14,10.6,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001001,2021-07-26,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12728.01,1012.3,11715.71,11.57,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001002,2021-07-30,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13060.53,1158.36,11902.16,10.27,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001003,2021-08-03,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13563.12,1077.13,12485.99,11.59,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001004,2021-08-08,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12652.6,929.02,11723.58,12.62,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001005,2021-08-10,SIMULATED_HISTORY,Kisumu,AGO,WATCH,UNPLANNED_PUMP_FAILURE,10643.22,988.63,9654.59,9.77,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0001006,2021-08-12,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13158.45,1183.5,11974.94,10.12,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001007,2021-08-16,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13464.29,1208.65,12255.64,10.14,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001008,2021-08-20,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13591.21,1042.0,12549.21,12.04,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001009,2021-08-25,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13015.03,1101.9,11913.12,10.81,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001010,2021-08-29,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13121.23,973.0,12148.23,12.49,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001011,2021-09-02,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13245.07,1134.31,12110.76,10.68,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001012,2021-09-06,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13458.37,1195.26,12263.11,10.26,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001013,2021-09-10,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13547.25,1150.31,12396.94,10.78,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001014,2021-09-15,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12751.42,1144.98,11606.44,10.14,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001015,2021-09-19,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12778.48,869.9,11908.58,13.69,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001016,2021-09-23,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13045.25,1286.71,11758.54,9.14,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001017,2021-09-27,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13120.23,1131.48,11988.75,10.6,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001018,2021-10-01,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13245.53,1336.3,11909.23,8.91,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001019,2021-10-05,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13044.49,1301.19,11743.3,9.03,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001020,2021-10-08,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,9152.72,1418.17,12374.55,8.73,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001021,2021-10-12,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13150.99,1338.75,11812.24,8.82,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001022,2021-10-15,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13882.41,1390.12,12492.3,8.99,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001023,2021-10-19,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13530.06,1284.17,12245.89,9.54,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001024,2021-10-21,SIMULATED_HISTORY,Kisumu,AGO,HEALTHY,LOADING_BAY_OUTAGE,11042.96,1443.39,14239.56,9.87,0,0.0,0,NONE
CP-0001025,2021-10-23,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12972.15,1360.87,11611.28,8.53,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001026,2021-10-26,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13795.84,1222.78,12573.06,10.28,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001027,2021-10-30,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13204.38,1165.09,12039.29,10.33,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001028,2021-11-03,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13486.66,1143.77,12342.89,10.79,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001029,2021-11-08,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12661.9,1210.47,11451.43,9.46,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001030,2021-11-12,SIMULATED_HISTORY,Kisumu,AGO,WATCH,UNPLANNED_PUMP_FAILURE,12656.52,1153.7,11502.83,9.97,1,4640.0,0,CREATE_PIPELINE_BATCH+OUTAGE
CP-0001031,2021-11-16,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12897.91,1110.61,11787.31,10.61,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001032,2021-11-20,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13031.64,932.01,12099.63,12.98,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001033,2021-11-23,SIMULATED_HISTORY,Kisumu,AGO,HEALTHY,PLANNED_PIPELINE_MAINTENANCE,14557.95,1120.34,13437.61,11.99,0,0.0,0,HOLD/RESCHEDULE_DUE_TO_OUTAGE
CP-0001034,2021-11-24,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13437.61,1132.56,12305.06,10.86,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001035,2021-11-28,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13673.99,1077.82,12596.17,11.69,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001036,2021-11-29,SIMULATED_HISTORY,Kisumu,AGO,WATCH,LOADING_BAY_OUTAGE,12596.17,1126.24,11469.93,10.18,0,0.0,0,NONE
CP-0001037,2021-12-03,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12674.93,1277.78,11397.15,8.92,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001038,2021-12-07,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,12917.39,1041.38,11876.01,11.4,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001039,2021-12-11,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13165.05,1021.71,12143.34,11.89,1,4640.0,0,CREATE_PIPELINE_BATCH
CP-0001040,2021-12-15,SIMULATED_HISTORY,Kisumu,AGO,WATCH,NORMAL,13561.2,1164.49,12396.72,10.65,1,4640.0,0,CREATE_PIPELINE_BATCH
